,title,mean rating,number of ratings
0,"Yards, The (2000)",3.4,5
1,Next Friday (2000),3.25,6
2,Supernova (2000),2.0,4
3,Down to You (2000),2.0,4
4,Scream 3 (2000),2.67,29
5,"Boondock Saints, The (2000)",4.22,43
6,Gun Shy (2000),1.0,1
7,"Beach, The (2000)",3.06,32
8,Snow Day (2000),2.3,5
9,"Tigger Movie, The (2000)",3.17,3
10,Boiler Room (2000),3.71,21
11,Hanging Up (2000),2.67,3
12,Pitch Black (2000),3.56,39
13,"Whole Nine Yards, The (2000)",3.52,42
14,Black Tar Heroin: The Dark End of the Street (2000),5.0,1
15,Reindeer Games (2000),2.46,13
16,Wonder Boys (2000),3.66,22
17,Chain of Fools (2000),4.0,1
18,Drowning Mona (2000),1.33,3
19,"Next Best Thing, The (2000)",2.17,3
20,What Planet Are You From? (2000),3.17,3
21,"Closer You Get, The (2000)",4.5,1
22,Mission to Mars (2000),2.69,21
23,Erin Brockovich (2000),3.53,70
24,Final Destination (2000),2.93,35
25,Romeo Must Die (2000),3.08,18
26,Here on Earth (2000),3.0,2
27,Whatever It Takes (2000),2.25,2
28,High Fidelity (2000),3.67,75
29,"Road to El Dorado, The (2000)",3.12,13
30,"Skulls, The (2000)",2.75,10
31,Frequency (2000),3.42,36
32,Ready to Rumble (2000),2.25,6
33,Return to Me (2000),3.56,8
34,Rules of Engagement (2000),3.07,7
35,Joe Gould's Secret (2000),3.0,1
36,Me Myself I (2000),3.61,9
37,28 Days (2000),3.3,25
38,American Psycho (2000),3.79,59
39,Keeping the Faith (2000),3.45,21
40,Where the Money Is (2000),3.33,3
41,"Filth and the Fury, The (2000)",3.25,2
42,Gossip (2000),2.4,5
43,Love and Basketball (2000),3.0,3
44,U-571 (2000),3.42,33
45,"Crow: Salvation, The (2000)",2.5,3
46,"Flintstones in Viva Rock Vegas, The (2000)",1.62,12
47,Where the Heart Is (2000),3.5,7
48,"Big Kahuna, The (2000)",2.88,8
49,Bossa Nova (2000),5.0,1
50,Time Code (2000),3.0,2
51,Gladiator (2000),3.94,170
52,Up at the Villa (2000),3.5,2
53,Battlefield Earth (2000),1.66,19
54,Center Stage (2000),3.25,6
55,Screwed (2000),1.0,1
56,Whipped (2000),2.0,2
57,Hamlet (2000),3.0,3
58,Dinosaur (2000),3.11,14
59,Loser (2000),3.3,10
60,Road Trip (2000),3.09,41
61,Small Time Crooks (2000),3.54,12
62,Mission: Impossible II (2000),2.71,77
63,Shanghai Noon (2000),3.15,43
64,Big Momma's House (2000),2.18,17
65,Gone in 60 Seconds (2000),3.22,61
66,Love's Labour's Lost (2000),3.0,2
67,Boys and Girls (2000),2.0,3
68,Shaft (2000),2.66,19
69,Titan A.E. (2000),3.41,29
70,Chicken Run (2000),3.55,78
71,"Me, Myself & Irene (2000)",3.09,46
72,"Patriot, The (2000)",3.45,68
73,"Adventures of Rocky and Bullwinkle, The (2000)",2.22,9
74,"Perfect Storm, The (2000)",3.17,44
75,"Golden Bowl, The (2000)",4.0,1
76,"Kid, The (2000)",2.59,11
77,Scary Movie (2000),2.92,50
78,Groove (2000),4.0,2
79,X-Men (2000),3.7,133
80,Chuck & Buck (2000),2.5,2
81,"In Crowd, The (2000)",2.67,3
82,What Lies Beneath (2000),3.2,25
83,Pokémon the Movie 2000 (2000),1.58,6
84,Nutty Professor II: The Klumps (2000),2.28,16
85,Autumn in New York (2000),2.41,11
86,Coyote Ugly (2000),2.74,29
87,Hollow Man (2000),2.29,39
88,Space Cowboys (2000),2.89,23
89,Psycho Beach Party (2000),1.5,2
90,Saving Grace (2000),3.91,11
91,I'm the One That I Want (2000),5.0,1
92,"Tao of Steve, The (2000)",3.38,13
93,Bless the Child (2000),4.0,1
94,Cecil B. DeMented (2000),3.5,5
95,"Eyes of Tammy Faye, The (2000)",3.75,2
96,"Replacements, The (2000)",2.68,19
97,About Adam (2000),3.75,2
98,"Cell, The (2000)",3.04,45
99,"Original Kings of Comedy, The (2000)",3.25,4
100,"Art of War, The (2000)",2.0,2
101,Bring It On (2000),2.69,34
102,"Crew, The (2000)",1.5,3
103,Skipped Parts (2000),4.0,1
104,Highlander: Endgame (Highlander IV) (2000),2.25,6
105,Nurse Betty (2000),3.34,19
106,"Watcher, The (2000)",1.5,1
107,"Way of the Gun, The (2000)",3.12,8
108,Almost Famous (2000),3.87,83
109,Bait (2000),2.5,2
110,Circus (2000),1.0,1
111,Crime and Punishment in Suburbia (2000),4.0,1
112,Duets (2000),3.25,2
113,Under Suspicion (2000),2.5,2
114,Urban Legends: Final Cut (2000),1.5,3
115,Woman on Top (2000),2.0,4
116,Dancer in the Dark (2000),3.98,20
117,Best in Show (2000),3.69,53
118,Beautiful (2000),2.5,2
119,"Broken Hearts Club, The (2000)",4.0,1
120,Girlfight (2000),3.67,6
